"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"16538",127490,-0.182679720303303,-0.234273896791535,-0.335934721617039,0.0005239578,0.156854266389381,0.00151882339962354,0.00313756025854109,-0.00573596192832024,NA,NA
"16540",127500,-0.182613745616061,-0.232751985839478,-0.335581075447411,0.0004293722,0.14963976130314,0.00144949305229406,-0.00387504180082095,-0.00512425975663633,NA,NA
"16541",127510,-0.182494166461026,-0.231465628092621,-0.335250699868595,0.0003817965,0.136621996441824,0.0013172151805034,-0.0078578039650207,-0.00284229525062578,NA,NA
"16542",127520,-0.182342839527508,-0.230334482200154,-0.334941818767589,0.0003527005,0.125420157430583,0.0012000462853143,-0.00727486189025993,0.000500739762286721,NA,NA
"16543",127530,-0.182195596937443,-0.229235465275605,-0.334664968884745,0.0003288356,0.120385646795635,0.00113635819028028,-0.00270975182137458,0.00393309500188392,NA,NA
"16545",127540,-0.182072680055842,-0.228121518414327,-0.334414632904205,0.0003083372,0.122331291833298,0.00110854383234581,0.00483105392781821,0.00683190419536617,NA,NA
"16546",127550,-0.181975150889467,-0.227002041402965,-0.33407002912938,0.000292248,0.134037429183854,0.00107644721134644,0.0154440162256416,0.00870258169583129,NA,NA
"16547",127560,-0.181897041396108,-0.225940596996762,-0.333256193258059,0.0002945021,0.164069315579777,0.00100628518521951,0.0282963253227637,0.00818577859870873,NA,NA
"16549",127570,-0.181840922549258,-0.225029235265111,-0.331394597555313,0.0003343993,0.216343453389624,0.000891034088630091,0.0373410061254478,0.00324406144041722,NA,NA
"16550",127580,-0.181808052092892,-0.224296955525591,-0.328377417340255,0.0004132559,0.270793220346839,0.0007574400083627,0.0324768054613463,-0.00629161060090751,NA,NA
"16551",127590,-0.181792099311919,-0.223681991581802,-0.324901369333014,0.0005228537,0.290819803247064,0.000637477435831091,0.00962666139041982,-0.0163997473700191,NA,NA
"16553",127600,-0.181794383586756,-0.223150346153714,-0.321989707992977,0.0006517977,0.258526432704326,0.000537171186308499,-0.0215349295652687,-0.0208529068955332,NA,NA
"16554",127610,-0.181818985098619,-0.222709353286752,-0.320210446353703,0.0007882059,0.193206279886006,0.000447187072089727,-0.0443718624850442,-0.0166805364643543,NA,NA
