"","begintime","endtime","coding","person","id"
"295",1066162,1066830,"Function","3",295
"296",1067530,1070305,"Feature","2",296
"297",1070727,1073489,"System","2",297
"298",1073636,1074259,"Function","2",298
"299",1074270,1074871,"Function","1",299
"300",1077840,1079611,"Function","3",300
"301",1080310,1081010,"Function","3",301
"302",1085248,1086543,"Function","3",302
"303",1086849,1087717,"Stimulus 3 touching","3",303
"304",1090453,1092021,"Stimulus 3 touching","3",304
"305",1099770,1102812,"G-Level 3 - high","1",305
"306",1108338,1109305,"Core Functionality","2",306
"307",1110246,1111288,"Function","1",307
"308",1111553,1114423,"Function","3",308
"309",1116312,1118648,"Core Functionality","1",309
"310",1119482,1121684,"Core Functionality","2",310
"311",1140770,1140826,"Pointing Stim 3","1",311
"312",1140826,1141892,"G-Pointing","1",312
"313",1144106,1146309,"Stimulus 3 touching","2",313
"314",1150751,1151848,"Core Functionality","2",314
"315",1158535,1159310,"G-Pointing","1",315
"316",1161524,1164494,"Core Functionality","2",316
"317",1168698,1171534,"Enactment Stim 2","2",317
"318",1182245,1184113,"Stimulus 3 touching","2",318
"319",1184113,1188275,"Core Functionality","2",319
"320",1190743,1192589,"Core Functionality","2",320
"321",1192589,1194791,"Core Functionality","2",321
"322",1195149,1196725,"G-Enactment","2",322
"323",1200363,1200477,"Stimulus 3 touching","2",323
"324",1200477,1201338,"G-Level 3 - high","2",324
"325",1202846,1204000,"Function","3",325
"326",1208574,1210421,"G-Level 2 - middle","1",326
"327",1217625,1222819,"G-Enactment","2",327
"328",1222819,1224791,"Function","2",328
"329",1226456,1227690,"Function","2",329
"330",1236216,1237318,"sketching","2",330
"331",1237500,1242264,"writing","2",331
"332",1242472,1243506,"sketching","2",332
"333",1243706,1245408,"writing","2",333
"334",1245599,1246084,"sketching","2",334
"335",1246161,1247613,"writing","2",335
"336",1250519,1252771,"sketching","3",336
"337",1253719,1254495,"sketching","2",337
"338",1254617,1255685,"Stimulus 3 touching","2",338
"339",1256656,1262025,"G-Level 1 - low","1",339
"340",1270911,1271832,"G-Level 2 - middle","2",340
"341",1271895,1274480,"G-Level 3 - high","2",341
"342",1279742,1280710,"Function","2",342
"343",1281711,1283046,"Function","2",343
"344",1285248,1285748,"Function","2",344
"345",1285748,1286349,"Function","2",345
"346",1286349,1286916,"Function","2",346
"347",1286916,1287650,"Function","2",347
"348",1287650,1289252,"Function","2",348
"349",1292321,1293556,"Stimulus 3 touching","3",349
"350",1295620,1300106,"G-Level 2 - middle","3",350
"351",1311770,1319182,"Stimulus 1 touching","2",351
"352",1319182,1320883,"Pointing Stim 1","2",352
"353",1330460,1330497,"Pointing Stim 1","2",353
"354",1330497,1331127,"G-Pointing","2",354
"355",1333881,1334670,"G-Pointing","2",355
"356",1336499,1338113,"Stimulus 3 touching","2",356
"357",22251,22612,"G-Pointing","1",357
"358",23136,29255,"G-Pointing","1",358
"359",36199,39102,"Function","2",359
"360",39102,40077,"Usability","2",360
"361",40077,41036,"G-Enactment","2",361
"362",43072,43840,"G-Pointing","1",362
"363",45828,49949,"G-Pointing","3",363
"364",52015,54184,"Pointing Stim 1","1",364
"365",56219,56753,"Feature","1",365
"366",57045,57379,"G-Pointing","1",366
"367",57821,58488,"G-Pointing","2",367
"368",59856,61746,"Use Case Scenario","2",368
"369",61746,62540,"G-Pointing","1",369
"370",63025,64560,"Enactment Stim 3","2",370
"371",64560,65361,"Feature","3",371
"372",66763,67197,"Feature","3",372
"373",67769,73736,"Pointing Stim 1","1",373
"374",73736,74804,"Feature","1",374
"375",76893,78326,"Pointing Stim 1","2",375
"376",78395,78808,"Feature","2",376
"377",78808,80509,"Pointing Stim 1","2",377
"378",81010,83246,"Usability","3",378
"379",83246,88284,"G-Enactment","3",379
"380",88284,88965,"Pointing Stim 1","3",380
"381",89819,90887,"Pointing Stim 1","2",381
"382",91554,93189,"Pointing Stim 1","1",382
"383",96659,99595,"Stimulus 1 touching","2",383
"384",99595,101898,"Pointing Stim 1","2",384
"385",102098,104300,"Feature","1",385
"386",104926,104967,"G-Level 2 - middle","1",386
"387",104967,107236,"Enactment Stim 1","1",387
"388",109857,112842,"Use Case Scenario","1",388
"389",122852,126355,"Use Case Scenario","2",389
"390",131160,132996,"Function","2",390
"391",134697,135264,"Pointing Stim 1","2",391
"392",137467,142498,"Function","2",392
"393",143239,144476,"G-Pointing","1",393
"394",147839,149579,"Function","1",394
"395",154451,157420,"Function","2",395
"396",157420,158121,"Pointing Stim 1","2",396
"397",158721,160609,"G-Enactment","2",397
"398",167608,169432,"Stimulus 1 touching","2",398
"399",169432,170753,"G-Pointing","2",399
"400",177846,178875,"Usability","3",400
